S.No	Date	Vehicle No.	W. Slip No.	Truckchit No.	Center Name	DISTRICT	New Bags	Old Bags	Total Bags	Total Quintals	Moisture	Unloading Point
240	03-06-2025	AP23Y4194	1141	10941	PACS KANDI	SANGAREDDY	457	158	615	246		BATTI
241	04-06-2025	KA39A2490	1142	10944	PACS KANDI	SANGAREDDY	433	107	540	216		BATTI
242	04-06-2025	AP29TB3807	1143	25999	PACS MOTHKUR (VKR)	VIKARABAD	559	161	720	288		BATTI
243	04-06-2025	AP12V5402	1145	1693	PACS GURUDOTLA (VKR)	VIKARABAD	310	225	535	214		BATTI
244	05-06-2025	TS34T9899	1147	4172	PACS MEKAVANAMPALLY (VKR)	VIKARABAD	250	65	315	126		BATTI
245	06-06-2025	AP29V7071	1148	4003	PACS DHARUR (VKR)	VIKARABAD	54	607	661	264.4		BATTI
246	06-06-2025	AP16TY8946	1151	4004	PACS DHARUR (VKR)	VIKARABAD	280	398	678	271.2		BATTI
247	07-06-2025	TS34T9899	1156	4173	PACS MEKAVANAMPALLY (VKR)	VIKARABAD	246	50	296	118.4		BATTI
248	08-06-2025	TS34T9899	1159	4177	PACS MEKAVANAMPALLY (VKR)	VIKARABAD	280	0	280	112		BATTI
249	09-06-2025	TS34T9899	1162	4179	PACS MEKAVANAMPALLY (VKR)	VIKARABAD	232	48	280	112		BATTI
250	13-06-2025	TS34T9899	1171	4185	PACS MEKAVANAMPALLY (VKR)	VIKARABAD	0	306	306	122.4		BATTI
251	16-06-2025	AP04W1414	1174	1721	PACS MOMINKALAN (VKR)	VIKARABAD	456	152	608	243.2		BATTI
